Entity,Code,Year,Patent applications - Field: All
Norway,NOR,2018,6
Norway,NOR,2017,2
Norway,NOR,2016,3
Norway,NOR,2014,2
Norway,NOR,2013,1
Norway,NOR,2012,2
Norway,NOR,2010,1
Oman,OMN,2016,1
Panama,PAN,2016,2
Peru,PER,2020,2
Peru,PER,2019,3
Peru,PER,2018,3
Peru,PER,2016,2
Peru,PER,2015,2
Peru,PER,2012,1
Peru,PER,2011,1
Peru,PER,2010,1
Philippines,PHL,2020,2
Philippines,PHL,2018,1
Philippines,PHL,2016,1
Philippines,PHL,2015,1
Philippines,PHL,2019,2
Philippines,PHL,2017,1
Poland,POL,2020,5
Poland,POL,2019,4
Poland,POL,2018,11
Poland,POL,2017,7
Poland,POL,2016,11
Poland,POL,2015,13
Poland,POL,2014,6
Poland,POL,2013,5
Poland,POL,2012,5
Poland,POL,2011,2
Poland,POL,2010,4
Portugal,PRT,2020,5
Portugal,PRT,2018,6
Portugal,PRT,2019,3
Portugal,PRT,2017,7
Portugal,PRT,2016,9
Portugal,PRT,2015,5
Portugal,PRT,2014,1
Portugal,PRT,2012,2
Portugal,PRT,2011,1
Portugal,PRT,2010,1
Romania,ROU,2018,1
Romania,ROU,2017,1
Romania,ROU,2016,1
Russia,RUS,2019,71
Russia,RUS,2020,69
Russia,RUS,2018,124
Russia,RUS,2017,106
Russia,RUS,2016,82
Russia,RUS,2015,61
Russia,RUS,2014,36
Russia,RUS,2013,28
Russia,RUS,2012,26
Russia,RUS,2011,12
Russia,RUS,2010,18
Saudi Arabia,SAU,2018,2
Serbia,SRB,2018,1
Serbia,SRB,2015,1
Serbia,SRB,2020,1
Serbia,SRB,2017,1
Serbia,SRB,2016,1
Serbia,SRB,2013,1
Serbia,SRB,2012,1
Serbia,SRB,2011,1
Singapore,SGP,2020,48
Singapore,SGP,2019,143
Singapore,SGP,2018,197
Singapore,SGP,2017,105
Singapore,SGP,2016,49
Singapore,SGP,2015,33
Singapore,SGP,2014,35
Singapore,SGP,2013,25
Singapore,SGP,2012,14
Singapore,SGP,2011,9
Singapore,SGP,2010,14
Slovenia,SVN,2016,3
Slovenia,SVN,2015,2
Slovenia,SVN,2018,1
Slovenia,SVN,2013,1
Slovenia,SVN,2011,2
Slovenia,SVN,2010,1
South Africa,ZAF,2020,2
South Africa,ZAF,2019,1
South Africa,ZAF,2018,3
South Africa,ZAF,2017,3
South Africa,ZAF,2016,3
South Africa,ZAF,2014,3
South Africa,ZAF,2012,1
South Africa,ZAF,2010,1
South Korea,KOR,2020,8197
South Korea,KOR,2019,6686
South Korea,KOR,2018,4219
South Korea,KOR,2017,2410
South Korea,KOR,2016,1235
South Korea,KOR,2015,537
South Korea,KOR,2014,371
South Korea,KOR,2013,307
South Korea,KOR,2012,279
South Korea,KOR,2011,284
South Korea,KOR,2010,197
Spain,ESP,2018,39
Spain,ESP,2017,47
Spain,ESP,2016,45
Spain,ESP,2015,40
Spain,ESP,2014,31
Spain,ESP,2020,33
Spain,ESP,2012,26
Spain,ESP,2019,27
Spain,ESP,2013,23
Spain,ESP,2011,18
Spain,ESP,2010,26
Sri Lanka,LKA,2016,1
Sri Lanka,LKA,2010,1
Sweden,SWE,2020,20
Sweden,SWE,2019,13
Sweden,SWE,2018,29
Sweden,SWE,2017,11
Sweden,SWE,2016,9
Sweden,SWE,2015,6
Sweden,SWE,2014,4
Sweden,SWE,2013,19
Sweden,SWE,2012,7
Sweden,SWE,2010,5
Sweden,SWE,2011,4
Switzerland,CHE,2019,2
Switzerland,CHE,2018,4
Switzerland,CHE,2017,2
Switzerland,CHE,2016,4
Switzerland,CHE,2015,3
Switzerland,CHE,2014,4
Switzerland,CHE,2020,6
Switzerland,CHE,2012,3
Switzerland,CHE,2010,2
Taiwan,TWN,2020,307
Taiwan,TWN,2019,255
Taiwan,TWN,2018,225
Taiwan,TWN,2017,113
Taiwan,TWN,2016,66
Taiwan,TWN,2015,36
Taiwan,TWN,2014,17
Taiwan,TWN,2013,19
Taiwan,TWN,2012,25
Taiwan,TWN,2011,17
Taiwan,TWN,2010,15
Thailand,THA,2017,1
Turkey,TUR,2020,45
Turkey,TUR,2019,22
Turkey,TUR,2018,14
Turkey,TUR,2017,8
Turkey,TUR,2016,4
Turkey,TUR,2015,4
Turkey,TUR,2014,2
Turkey,TUR,2013,3
Turkey,TUR,2012,1
Turkey,TUR,2010,1
Ukraine,UKR,2017,2
Ukraine,UKR,2018,1
Ukraine,UKR,2013,3
Ukraine,UKR,2015,3
Ukraine,UKR,2010,1
United Kingdom,GBR,2020,381
United Kingdom,GBR,2019,415
United Kingdom,GBR,2018,402
United Kingdom,GBR,2016,188
United Kingdom,GBR,2014,70
United Kingdom,GBR,2017,276
United Kingdom,GBR,2015,92
United Kingdom,GBR,2013,78
United Kingdom,GBR,2012,48
United Kingdom,GBR,2011,26
United Kingdom,GBR,2010,23
United States,USA,2020,14761
United States,USA,2019,16472
United States,USA,2018,14047
United States,USA,2017,10100
United States,USA,2016,6407
United States,USA,2015,4170
United States,USA,2014,2862
United States,USA,2013,2291
United States,USA,2012,1796
United States,USA,2011,1412
United States,USA,2010,1357
Uruguay,URY,2020,1
Uruguay,URY,2017,1
World,OWID_WRL,2020,93828
World,OWID_WRL,2019,74418
World,OWID_WRL,2018,53303
World,OWID_WRL,2017,32029
World,OWID_WRL,2016,18690
World,OWID_WRL,2015,10579
World,OWID_WRL,2014,7009
World,OWID_WRL,2013,5686
World,OWID_WRL,2012,4311
World,OWID_WRL,2011,3542
World,OWID_WRL,2010,2938
